LC,Grade,itemkey,Source,questionkey,correctanswervalue,mostcommonwronganswer,total_students,pct_A,pct_B,pct_C,pct_D,pct_E,pct_F,reportingquestiontypename,pct_G,Question Text,Image Summary,choice_A,DR A,choice_B,DR B,choice_C,DR C,choice_D,DR D,choice_E,DR E,choice_F,DR F,choice_G,DR G,Image Summary (if present),MostCommonDR,Learning_Component_Text
MATH-00091,2,i155068,Interim_eedi,q161702,B,A,182.0,15.934065934065,79.120879120879,4.945054945054,,,,MULTICHOICE,,Shakila has some rolls of paper towels. The rolls are arranged in 4 columns with 3 rolls in each column. Which tape diagram correctly represents Shakila's total rolls of paper towels?,"Three tape diagrams are shown. A) A tape diagram with 2 sections: one labeled ""3"" and one labeled ""4"" (adds columns and rows). B) A tape diagram with 4 equal sections each labeled ""3"" (4 groups of 3 — correct). C) A tape diagram with 4 equal sections each labeled ""4"" (uses number of columns for both the number of sections and the value in each section).",[Tape diagram: 2 sections labeled 3 and 4],Student selected a tape diagram that added together the number of columns and the number of rows.,[Tape diagram: 4 sections each labeled 3],Correct.,[Tape diagram: 4 sections each labeled 4],Student selected a tape diagram that used the number of columns as both the number of columns and the number of rolls in each column.,,,,,,,,,,Student selected a tape diagram that added together the number of columns and the number of rows.,Determine  the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns
MATH-02598,2,i110223,Interim_eedi,q100762,B,A,8560.0,38.57476635514,51.962616822429,10.572429906542,,,,MULTICHOICE,,There were 48 students on the playground. Ms. Carr's class entered the playground. Now there are 74 students on the playground. Which number sentence could be used to find the number of students in Ms. Carr's class?,,48 + 74 = ♦,Student represented the sum as an addend.,48 + ♦ = 74,Correct.,48 - ♦ = 74,Student represented the missing number as a missing minuend instead of a missing addend; tried to represent 74 - 48 = ?.,,,,,,,,,,Student represented the sum as an addend.,Use drawings or equations with a symbol for the unknown number to represent one-step addition problems within 100
MATH-00095,3,i116713,Interim_eedi,q114054,BCF,D,4749.0,35.818066961465,61.591914087176,53.295430616971,40.955990734891,19.330385344283,62.434196672983,MULTISELECT,,Which three shapes appear to be parallelograms? Select three that apply.,Six shapes labeled A-F: A is an irregular quadrilateral with no parallel sides. B is a rectangle. C is a diamond/rhombus shape with two pairs of parallel sides. D is a trapezoid with one pair of parallel sides. E is a regular hexagon with three pairs of parallel sides. F is a classic slanted parallelogram.,(Irregular quadrilateral shape),Student thought all quadrilaterals are parallelograms.,(Rectangle shape),Correct.,(Diamond/rhombus shape),Correct.,(Trapezoid shape),Student thought a trapezoid is a parallelogram; perhaps thought a parallelogram has at least one pair of parallel sides.,(Hexagon shape),Student thought a hexagon is a parallelogram; perhaps thought that a parallelogram is any shape made up of pairs of parallel sides.,(Classic parallelogram shape),Correct.,,,,Student thought a trapezoid is a parallelogram; perhaps thought a parallelogram has at least one pair of parallel sides.,Understand that shared attributes can define a larger category of shapes
MATH-00096,3,i185777,Compass,q188827,C,A,82.0,7.317073170731708,6.097560975609756,81.70731707317073,4.878048780487805,,,MULTICHOICE,,Sara says that each part of the figure shown below is 1/8 of the whole. Which statement best describes Sara's thinking?,Image shows a rectangle divided into 8 parts of unequal sizes — the parts are not equal in area even though there are 8 of them.,Sara is correct because there are 8 parts in all.,Student misunderstood a unit fraction to mean one part out of a number of parts rather than one part out of a number of parts of equal size.,Sara is correct because each of the 8 parts is a rectangle.,Student misunderstood a unit fraction to mean one part out of a number of parts of the same shape rather than one part out of a number of parts of equal size.,Sara is incorrect because not all 8 parts are equal.,Correct.,Sara is incorrect because none of the 8 parts are shaded.,Student may only have thought of fractions as shaded parts of wholes.,,,,,,,,Student misunderstood a unit fraction to mean one part out of a number of parts rather than one part out of a number of parts of equal size.,"Express the area of each equal part of a shape as a unit fraction of the whole (with denominators of 2, 3, 4, 6, and 8)"
MATH-00096,3,i112098,Interim_eedi,q110826,C,A,20755.0,14.902433148638,9.766321368344,62.53432907733,13.17272946278,,,MULTICHOICE,,Sara says that each part of the figure shown below is 1/8 of the whole. Which statement best describes Sara's thinking?,"A rectangle divided into 8 parts in a 4-column by 2-row arrangement. The top row contains 4 taller rectangles and the bottom row contains 4 shorter rectangles, making the top and bottom parts unequal in area — so the 8 parts are not all equal.",Sara is correct because there are 8 parts in all.,Student misunderstood 1/8 to mean 1 out of 8 parts rather than 1 out of 8 equal parts.,Sara is correct because each of the 8 parts is a rectangle.,Student misunderstood 1/8 to mean 1 out of 8 same-shaped parts rather than 1 out of 8 equal parts.,Sara is incorrect because not all 8 parts are equal.,Correct.,Sara is incorrect because none of the 8 parts are shaded.,Student may only have thought of fractions as shaded parts of wholes.,,,,,,,,Student misunderstood 1/8 to mean 1 out of 8 parts rather than 1 out of 8 equal parts.,"Express the area of each equal part of a shape as a unit fraction of the whole (with denominators of 2, 3, 4, 6, and 8)"
MATH-00097,3,i185778,Compass,q188828,BEF,A,82.0,23.170731707317074,74.39024390243902,12.195121951219512,3.658536585365854,90.2439024390244,91.46341463414635,MULTISELECT,,Select three figures that are divided into parts with equal areas.,"Image shows six figures (A–F), each divided into parts. Figures B, E, and F are divided into parts with equal areas. Figures A and C show shapes partitioned by equally spaced lines that create unequal areas. Figure D shows a shape partitioned from one vertex to another creating unequal areas.",(Figure A),Student chose a figure partitioned by equally spaced lines but did not recognize that this created parts with different areas.,(Figure B),Correct.,(Figure C),Student chose a figure partitioned by equally spaced lines but did not recognize that this created parts with different areas.,(Figure D),Student chose a figure partitioned from one vertex to another but did not recognize that this created parts with different areas.,(Figure E),Correct.,(Figure F),Correct.,,,,Student chose a figure partitioned by equally spaced lines but did not recognize that this created parts with different areas.,"Partition shapes into parts with equal areas (2, 3, 4, 6, or 8 equal parts)"
MATH-00097,3,i112144,Interim_eedi,q110837,BEF,A,20893.0,33.489685540611,50.437945723448,27.061695304647,4.092279710907,74.321543100559,83.219260039247,MULTISELECT,,Select three figures that are divided into parts with equal areas.,Six shapes labeled A-F with internal partitions: A is an octagon divided by two horizontal lines creating three sections of unequal area (middle section largest). B is a square divided diagonally by a line creating two equal triangles. C is a triangle divided by two horizontal lines creating three sections of unequal area. D is a pentagon divided by a line from one vertex to another creating two parts of unequal area. E is a diamond/rhombus divided by a diagonal line into two equal triangles. F is a circle divided into three equal sectors by lines from the center.,(Octagon with two horizontal lines — unequal areas),Student chose a figure partitioned by two equally spaced lines but did not recognize that this made one part that has a different area than the other two.,(Square with diagonal partition),Correct.,(Triangle with two horizontal lines — unequal areas),Student chose a figure partitioned by two equally spaced lines but did not recognize that this made three parts that each have a different area.,(Pentagon with vertex-to-vertex partition — unequal areas),Student chose a figure partitioned from one vertex to another; did not recognize that this made two parts that each have a different area.,(Diamond/rhombus with diagonal into two equal triangles),Correct.,(Circle divided into three equal sectors),Correct.,,,,Student chose a figure partitioned by two equally spaced lines but did not recognize that this made one part that has a different area than the other two.,"Partition shapes into parts with equal areas (2, 3, 4, 6, or 8 equal parts)"
MATH-00098,3,i110167,Compass,q100084,B,A,12.0,58.333333333333336,33.333333333333336,,8.333333333333334,,,MULTICHOICE,,Carlos began a puzzle at 4:48 p.m. He finished at 5:17 p.m. How many minutes did Carlos spend solving the puzzle?,,17,Student interpreted the minute reading of the end time as the total duration.,29,Correct.,31,Student subtracted the smaller minute reading from the larger minute reading.,69,Student subtracted the start time from the finish time as if in base-ten numeral form; may have thought that there are 100 minutes in an hour instead of 60.,,,,,,,,Student interpreted the minute reading of the end time as the total duration.,"Measure time intervals in minutes (within 60 minutes), including finding elapsed time"
MATH-00100,3,i138108,Compass,q142524,D,C,6083.0,10.817031070195,8.285385500575,40.374815058359,40.522768370869,,,MULTICHOICE,,Michelle and Brian started playing a game at the time shown below. They finished the game 36 minutes later. At what time did they finish the game?,"An analog clock face showing the time 7:20. The hour hand points between 7 and 8 (closer to 7), and the minute hand points to the 4 (indicating 20 minutes past the hour).",5:11,"Student confused the minute hand with the hour hand, read the clock as 4:35, and added 36 minutes to that time.",6:44,Student correctly read the given time but misinterpreted 'later' to indicate that subtraction was needed; chose a time 36 minutes earlier than 7:20.,7:40,Student may not understand that each numeral on the clock represents five minutes; added 36 minutes to 7:04.,7:56,Correct.,,,,,,,,Student may not understand that each numeral on the clock represents five minutes; added 36 minutes to 7:04.,Solve word problems involving addition of time intervals in minutes
MATH-00100,3,i138107,Interim_eedi,q142523,C,A,25075.0,20.235294117647,16.358923230309,47.629112662013,16.043868394815,,,MULTICHOICE,,Lynell spends 23 minutes doing her math homework and 18 minutes doing her science homework. At what time will Lynell finish her math and science homework if she starts at 5:26?,,5:49,Student misinterpreted the context and only added the time it would take for Lynell to do her math homework (23 minutes).,5:67,"Student added both of the times to 5:26, but did not recognize that because there are only 60 minutes in an hour, regrouping to a new hour is necessary.",6:07,Correct.,6:41,"Student added 23 and 18 to calculate the minutes, and reasoned (through estimation) that Lynell would complete her homework during the next hour interval to calculate the hour.",,,,,,,,Student misinterpreted the context and only added the time it would take for Lynell to do her math homework (23 minutes).,Solve word problems involving addition of time intervals in minutes
MATH-00100,3,i171751,Interim_eedi,q175907,D,C,9925.0,10.156171284634,9.662468513853,36.352644836272,43.949622166246,,,MULTICHOICE,,Michelle and Brian started playing a game at the time shown below. They finished the game 36 minutes later. At what time did they finish the game?,"An analog clock showing the hour hand pointing between 7 and 8 (closer to 7) and the minute hand pointing to the 4 (representing 20 minutes), displaying the time 7:20.",5:12,"Student confused the minute hand with the hour hand, read the clock as 4:36, and added 36 minutes to that time.",6:44,"Student correctly read the given time but misinterpreted ""later"" to indicate that subtraction was needed; chose a time 36 minutes earlier than 7:20.",7:40,Student may not understand that each numeral on the clock represents five minutes; added 36 minutes to 7:04.,7:56,Correct.,,,,,,,,Student may not understand that each numeral on the clock represents five minutes; added 36 minutes to 7:04.,Solve word problems involving addition of time intervals in minutes
MATH-00101,3,i138109,Interim_eedi,q142525,A,B,1009.0,52.824578790882,21.308225966303,20.911793855302,5.054509415262,,,MULTICHOICE,,Which clock shows the time 8:07?,"Four analog clocks labeled A-D displaying different times: A shows the hour hand pointing near 8 and the minute hand pointing to just past 12 (at the 1, representing 7 minutes past), correctly showing 8:07. B shows swapped hand positions. C shows the minute hand pointing directly at the 7. D shows a time close to 7:08.",(Clock correctly showing 8:07),Correct.,(Clock with swapped minute and hour hands),Student confused the minute and the hour hands and did not recognize that the minute hand measures in intervals of 5.,(Clock with minute hand pointing at numeral 7),Student did not recognize that the minute hand measures in intervals of 5 and selected a minute hand that was on 7 for 7 minutes.,(Clock showing 7:08),Student confused minutes and hours; chose a clock that shows 7:08 instead of 8:07.,,,,,,,,Student confused the minute and the hour hands and did not recognize that the minute hand measures in intervals of 5.,Tell and write time to the nearest minute
MATH-00103,3,i130926,Compass,q126767,A,B,10599.0,41.23030474573,24.59666006227,12.727615812812,21.445419379186,,,MULTICHOICE,,"Noah uses some carrots for cooking. The scales below show the masses, in grams, of the starting amount of carrots and of the carrots Noah used for cooking. About how many grams of carrots were not used in Noah's cooking?","Two identical round dial scales are shown side by side. Each scale has markings at 0g (top), 10, 20, 30, 40, 50, 60, 70, 80, and 90. The left scale is labeled ""Mass of starting amount of carrots"" and its needle points to approximately 70 grams, with a larger pile of carrots on top. The right scale is labeled ""Mass of carrots used for cooking"" and its needle points to approximately 40 grams, with a smaller pile of carrots on top.",30,Correct.,40,Student found the estimated mass of carrots used for cooking by choosing the measurement on the second scale.,60,"Student rounded the starting mass of the carrots (~70) up to 100 without recognizing that was not necessarily the closest estimate, and subtracted 40 from 100.",110,Student added the estimated values instead of subtracting.,,,,,,,,Student found the estimated mass of carrots used for cooking by choosing the measurement on the second scale.,Use subtraction to solve one-step word problems involving masses or volumes that are given in the same units
MATH-00103,3,i185063,Compass,q187876,A,B,93.0,64.51612903225806,17.204301075268816,7.526881720430108,10.75268817204301,,,MULTICHOICE,,"Noah bought some carrots. He cooked some of the carrots for dinner and then put away the rest. The scales below show the masses, in grams, of the carrots Noah bought and the carrots he cooked for dinner. About how many grams of carrots did Noah put away after he cooked dinner?","Image shows two scales. The first scale shows the total carrots Noah bought, with the needle pointing to approximately 70 grams. The second scale shows the carrots he cooked, with the needle pointing to approximately 40 grams.",30,Correct.,40,Student identified only one given value instead of performing the necessary subtraction to find the difference.,60,"Student rounded one of the given values to the nearest hundred instead of nearest ten before subtracting, resulting in a less precise estimate.",110,Student added the estimated values instead of subtracting.,,,,,,,,Student identified only one given value instead of performing the necessary subtraction to find the difference.,Use subtraction to solve one-step word problems involving masses or volumes that are given in the same units
MATH-00103,3,i171718,Interim_eedi,q175883,A,B,23823.0,44.415061075431,26.646518070771,11.090122990387,18.007807580909,,,MULTICHOICE,,"Noah bought some carrots. He cooked some of the carrots for dinner and then put away the rest. The scales below show the masses, in grams, of the carrots Noah bought and the carrots he cooked for dinner. About how many grams of carrots did Noah put away after he cooked dinner?","Two analog kitchen scales side by side. The left scale is labeled ""Mass of Carrots Bought"" and shows a pile of carrots with the dial reading approximately 70 grams. The right scale is labeled ""Mass of Carrots Cooked for Dinner"" and shows a smaller pile of carrots with the dial reading approximately 40 grams.",30,Correct.,40,Student found the estimated mass of carrots used for cooking by choosing the measurement on the second scale.,60,"Student rounded the mass of carrots Noah bought (~70) up to 100 without recognizing that was not necessarily the closest estimate, and subtracted 40 from 100.",110,Student added the estimated values instead of subtracting.,,,,,,,,Student found the estimated mass of carrots used for cooking by choosing the measurement on the second scale.,Use subtraction to solve one-step word problems involving masses or volumes that are given in the same units
MATH-00104,3,i185064,Compass,q187877,C,A,98.0,27.551020408163264,6.122448979591836,62.244897959183675,4.081632653061225,,,MULTICHOICE,,Gabrielle uses the amount of water shown below to make a jug of lemonade. Gabrielle will make 6 jugs of lemonade. How many total liters (L) of water will she use?,Image shows a beaker or measuring container with water filled to the 3 L mark on a scale that goes up to 4 L.,3,Student used subtraction instead of multiplication to try to find the total amount.,9,"Student added the two given values instead of multiplying, possibly misinterpreting the meaning of ""total.""",18,Correct.,24,"Student used an incorrect value for one group when multiplying, likely confusing the maximum marked value with the given marked value.",,,,,,,,Student used subtraction instead of multiplication to try to find the total amount.,Use multiplication to solve one-step word problems involving masses or volumes that are given in the same units
MATH-00104,3,i162729,Interim_eedi,q169198,C,A,34131.0,39.486097682458,10.726319181975,44.510855234244,5.505259148574,,,MULTICHOICE,,Gabrielle uses the amount of water shown below to make a jug of lemonade. Gabrielle will make 6 jugs of lemonade. How many total liters (L) of water will she use?,"A glass bottle/jug shown with measurement markings on its side at 1L, 2L, 3L, and 4L. The shaded (filled) portion of the bottle reaches up to the 3L mark, indicating 3 liters of water.",3,Student subtracted 3 from 6 instead of multiplying.,9,"Student added 3 and 6 instead of multiplying; may have misinterpreted ""total"" to indicate addition.",18,Correct.,24,"Student used 4 liters, the measure of each jug, instead of 3 liters, the value indicated by the shading of the jug.",,,,,,,,Student subtracted 3 from 6 instead of multiplying.,Use multiplication to solve one-step word problems involving masses or volumes that are given in the same units
MATH-00111,3,i112618,Interim_eedi,q102790,B,A,152.0,17.105263157894,58.552631578947,17.105263157894,7.236842105263,,,MULTICHOICE,,The bar graph below shows the number of times a video clip was viewed over a five-day period. How many fewer views did the video clip have on Friday than on Tuesday?,"A bar graph titled ""Video Clip Views."" The y-axis is labeled ""Number of Views"" and ranges from 0 to 260 in increments of 20. The x-axis is labeled ""Day."" Bar heights: Monday ~160, Tuesday ~200, Wednesday ~140, Thursday ~180, Friday ~160.",20,"Student assumed that the intervals on the y-axis were units of 10, OR found the difference between Tuesday and Thursday.",40,Correct.,160,"Student found the number of video clip views on Friday; student possibly confused ""how many fewer"" with ""which amount is fewer"" and chose the bar for the day with fewer views.",180,Student chose the number for the line in between the two days.,,,,,,,,"Student assumed that the intervals on the y-axis were units of 10, OR found the difference between Tuesday and Thursday.",Solve one-step problems using information presented in a scaled bar graph
MATH-00111,3,i171752,Interim_eedi,q175908,B,D,3814.0,19.323544834819,44.677503932878,11.274252753015,24.750917671735,,,MULTICHOICE,,The 3rd grade set a goal of donating 400 cans. How many more cans does the 3rd grade need to reach its goal of 400 total cans? Respond in the space provided.,"A vertical bar graph titled ""Can Donation Results."" The x-axis is labeled ""Classroom Teacher and Grade"" with four bars: Ms. Ebosie (2nd Grade) at approximately 80 cans, Mr. Grant (2nd Grade) at approximately 170 cans, Mr. Diaz (3rd Grade) at approximately 110 cans, and Mrs. Brown (3rd Grade) at approximately 150 cans. The y-axis is labeled ""Number of Cans Donated"" and ranges from 0 to 200, with gridlines at every 10 units.",[Open Response] Correct Answer: 150 cans,Student misinterpreted the scale as if each horizontal line represented 1 can and counted 9 intervals between the tops of Ms. Ebosie's and Mr. Grant's bars.,90,Correct.,99,Student misread the scale as if each horizontal line represented 1 can counting down from 200 and 100; subtracted 98 from 197.,110,Student correctly read the graph but subtracted the smaller number from the larger number in the tens place rather than regrouping.,,,,,,,,Student correctly read the graph but subtracted the smaller number from the larger number in the tens place rather than regrouping.,Solve one-step problems using information presented in a scaled bar graph
MATH-00111,3,i183858,Interim_eedi,q186190,B,D,741.0,14.304993252361,51.956815114709,11.87584345479,21.862348178137,,,MULTICHOICE,,The 3rd grade set a goal of donating 400 cans. How many more cans does the 3rd grade need to reach its goal of 400 total cans? Respond in the space provided.,"A vertical bar graph titled ""Can Donation Results."" The x-axis is labeled ""Classroom Teacher and Grade"" with four bars: Ms. Ebosie (2nd Grade) at approximately 80 cans, Mr. Grant (2nd Grade) at approximately 170 cans, Mr. Diaz (3rd Grade) at approximately 110 cans, and Mrs. Brown (3rd Grade) at approximately 150 cans. The y-axis is labeled ""Number of Cans Donated"" and ranges from 0 to 200, with gridlines at every 10 units.",[Open Response] Correct Answer: 150 cans,Student misinterpreted the scale as if each horizontal line represented 1 can and counted 9 intervals between the tops of Ms. Ebosie's and Mr. Grant's bars.,90,Correct.,99,Student misread the scale as if each horizontal line represented 1 can counting down from 200 and 100; subtracted 98 from 197.,110,Student correctly read the graph but subtracted the smaller number from the larger number in the tens place rather than regrouping.,,,,,,,,Student correctly read the graph but subtracted the smaller number from the larger number in the tens place rather than regrouping.,Solve one-step problems using information presented in a scaled bar graph
MATH-00113,3,i112398,Interim_eedi,q102375,C,B,1356.0,17.256637168141,17.40412979351,58.259587020648,7.153392330383,,,MULTICHOICE,,Which bar graph shows the same information as the picture graph below?,"A picture graph titled ""Utensils in a Restaurant."" Forks row: 5 full circles = 30 utensils. Knives row: 2 full circles + 1 half circle = 15 utensils. Spoons row: 4 full circles + 1 half circle = 27 utensils. Key: 1 full circle = 6 utensils; 1 half circle = 3 utensils. Four bar graphs (A-D) are shown as answer choices.","(Bar graph: Forks ~25, Knives ~15, Spoons ~30)",Student switched the number of forks and spoons.,"(Bar graph: Forks ~30, Knives ~12, Spoons ~24)",Student did not include the half pictures in the totals.,"(Bar graph: Forks ~30, Knives ~15, Spoons ~27)",Correct.,"(Bar graph: Forks ~5, Knives ~2, Spoons ~5)","Student counted the number of pictures and picked a graph that displayed the number of pictures used, not the number of utensils represented.",,,,,,,,Student did not include the half pictures in the totals.,Use a scaled bar graph to represent a data set with several categories
MATH-00115,3,i112715,Interim_eedi,q101028,A,D,6834.0,44.863915715539,11.954931226221,21.656423763535,21.817383669885,,,MULTICHOICE,,"Ms. Beverly's class planted bean sprouts and recorded the plants' heights. They found that 3 plants were 2 1/2 inches tall, 2 plants were 1 1/4 inches tall, 1 plant was 2 inches tall, and 1 plant was 1 3/4 inches tall. Which line plot correctly shows the heights of the bean sprouts?","Four line plots (A-D) each showing a number line from 0 to 3 with X marks. A: Three X's stacked at 2 1/2, two X's at 1 1/4, one X at 2, one X at 1 3/4 (correct distribution). B: One X at each of the four values only. C: The positions of 1 1/4 and 1 3/4 are switched. D: X's plotted for every number mentioned in the problem text.",(Line plot A — correct distribution of X marks),Correct.,(Line plot B — one X per unique value),Student plotted only one point for each value; perhaps overlooked or misunderstood the number of data points for each plant height.,(Line plot C — 1 1/4 and 1 3/4 positions switched),"Student counted down from 2 to plot 1 1/4 and 1 3/4, switching the values of 1 1/4 with 1 3/4.",(Line plot D — X for every number mentioned),Student ignored the context and plotted an X for each number in the prompt.,,,,,,,,Student ignored the context and plotted an X for each number in the prompt.,"Show measurement data by making a fractional line plot, where the horizontal scale is marked off in appropriate units (whole numbers, halves, or quarters)"
MATH-00121,3,i185065,Compass,q187878,C,D,79.0,8.860759493670885,3.7974683544303796,73.41772151898734,13.924050632911392,,,MULTICHOICE,,"What is the area, in square units, of the shaded figure on the grid below?",Grid showing an irregular shaded shape resembling an inverted T or L-shape covering 34 square units.,24,Student counted the number of shaded unit squares around the edge of the shaded shape rather than counting the total number of unit squares that make up the shape.,28,Student confused area with perimeter.,34,Correct.,40,Student applied a multiplication strategy based on an assumed rectangular shape but did not adjust for missing sections.,,,,,,,,Student applied a multiplication strategy based on an assumed rectangular shape but did not adjust for missing sections.,Measure the area of a rectangle by counting unit squares
MATH-00121,3,i185066,Compass,q187879,C,B,76.0,2.6315789473684212,3.9473684210526314,90.78947368421052,2.6315789473684212,,,MULTICHOICE,,"In the rectangle below, each small square is one square unit. What is the area, in square units, of the rectangle?","A rectangle is shown divided into a grid of small unit squares. The rectangle is 5 units wide and 3 units tall, containing 15 unit squares total. The border of the rectangle contains 12 unit squares.",8,Student added the length and the width to find area instead of multiplying.,12,Student counted the unit squares that make up the border of the rectangle rather than the total number of unit squares that make up the rectangle.,15,Correct.,16,Student confused area with perimeter.,,,,,,,,Student counted the unit squares that make up the border of the rectangle rather than the total number of unit squares that make up the rectangle.,Measure the area of a rectangle by counting unit squares
MATH-00121,3,i138659,Interim_eedi,q143461,C,D,29523.0,8.213934898214,8.234258036107,73.085391051044,10.828845307048,,,MULTICHOICE,,"What is the area, in square units, of the shaded figure on the grid below?","A grid approximately 10 units wide by 4 units tall. A shaded irregular L-shaped figure covers most of the grid. The unshaded portions are 3 unit squares in the top-left area and 3 unit squares in the bottom-right area, leaving 34 unit squares shaded. A key states: 1 small square = 1 square unit.",24,"Student counted the number of unit squares that make up the border of the shaded figure, including the unit square with only a corner on the edge.",28,Student confused area with perimeter.,34,Correct.,40,"Student found the area by multiplying 10 by 4, but failed to account for the 6 unit squares that needed to be taken out of the calculated rectangle area.",,,,,,,,"Student found the area by multiplying 10 by 4, but failed to account for the 6 unit squares that needed to be taken out of the calculated rectangle area.",Measure the area of a rectangle by counting unit squares
MATH-00121,3,i138660,Interim_eedi,q143462,C,B,27341.0,3.514867780988,4.012289235946,89.810175194762,2.918693537178,,,MULTICHOICE,,"In the rectangle below, each small square is one square unit. What is the area, in square units, of the rectangle?","A rectangle divided into a grid of 5 columns and 3 rows, forming 15 equal unit squares total.",8,Student added the length and the width.,12,Student counted the unit squares that make up the border of the rectangle.,15,Correct.,16,Student found the perimeter of the rectangle.,,,,,,,,Student counted the unit squares that make up the border of the rectangle.,Measure the area of a rectangle by counting unit squares
MATH-00125,3,i185067,Compass,q187880,B,A,75.0,16.0,74.66666666666667,4.0,5.333333333333333,,,MULTICHOICE,,Mrs. Miller orders a rectangular rug for her classroom. It is 3 meters wide and 4 meters long. How many square meters of rug does Mrs. Miller order?,,7,Student added the length and width instead of multiplying to find the area.,12,Correct.,14,Student calculated the perimeter instead of the area.,20,Student tried to draw a tiled rectangle to find the area but drew an extra row and column.,,,,,,,,Student added the length and width instead of multiplying to find the area.,Use multiplication to find the area of a rectangle with whole number side lengths in the context of solving real-world problems
MATH-00125,3,i111846,Interim_eedi,q107664,AC,D,3377.0,64.22860527095,15.072549600236,50.695883920639,23.571217056559,14.273023393544,,MULTISELECT,,Blake is cutting colored paper for an art project. He needs a rectangular piece of paper that has an exact area of 24 square inches. Which two sets of measurements could Blake use? Select two that apply.,,"Length: 6 inches, Width: 4 inches",Correct.,"Length: 6 inches, Width: 6 inches",Student may have confused 'area' to mean the distance around the edge of the paper and added all side lengths.,"Length: 8 inches, Width: 3 inches",Correct.,"Length: 12 inches, Width: 12 inches","Student did not understand how to find area; added the length and width to find area, and possibly thought that the length and width should be the same.","Length: 16 inches, Width: 8 inches",Student did not understand how to find area; added the length and width to find area.,,,,,,"Student did not understand how to find area; added the length and width to find area, and possibly thought that the length and width should be the same.",Use multiplication to find the area of a rectangle with whole number side lengths in the context of solving real-world problems
MATH-00126,3,i185721,Compass,q188765,B,D,85.0,8.235294117647058,63.529411764705884,7.0588235294117645,21.176470588235293,,,MULTICHOICE,,Which rectangle has an area of 10 square units?,Four rectangles shown with dimensions labeled. A: 3 units × 2 units. B: 5 units × 2 units. C: 7 units × 3 units. D: 5 units × 5 units.,[Rectangle 3×2],Student confused area with perimeter.,[Rectangle 5×2],Correct.,[Rectangle 7×3],Student thought the area could be found by adding length and width.,[Rectangle 5×5],Student thought the area could be found by adding length and width.,,,,,,,,Student thought the area could be found by adding length and width.,Use multiplication to find the area of a rectangle with whole number side lengths in the context of solving mathematical problems
MATH-00126,3,i112666,Interim_eedi,q100712,B,C,25416.0,6.283443500157,60.442241107963,29.064368901479,4.666351904312,,,MULTICHOICE,,Which rectangle has an area of 18 square feet?,"Four rectangles labeled A-D with labeled dimensions: A has width 5 feet and height 4 feet (perimeter=18, area=20). B has width 9 feet and height 2 feet (area=18). C is a large square with both dimensions 9 feet (area=81). D has width 8 feet and height 1 foot (perimeter=18, area=8).",(Rectangle A: 5 ft x 4 ft),Student identified a rectangle with a perimeter of 18 instead of an area of 18.,(Rectangle B: 9 ft x 2 ft),Correct.,(Rectangle C: 9 ft x 9 ft),"Student added the length and width to get 18 units, OR confused 9 x 9 with 9 x 2.",(Rectangle D: 8 ft x 1 ft),"Student identified a rectangle with a perimeter of 18 instead of an area of 18, OR thought that the digits representing the dimensions of the rectangle could be combined to represent the area of the rectangle; may misunderstand place value.",,,,,,,,"Student added the length and width to get 18 units, OR confused 9 x 9 with 9 x 2.",Use multiplication to find the area of a rectangle with whole number side lengths in the context of solving mathematical problems
MATH-00126,3,i162413,Interim_eedi,q168779,B,C,4599.0,11.763426831919,62.861491628614,15.416394868449,10.089149815177,,,MULTICHOICE,,Which rectangle has an area of 12 square units?,"Four rectangles labeled A-D with labeled dimensions: A has width 4 units and height 2 units (perimeter=12, area=8). B has width 4 units and height 3 units (area=12). C has width 8 units and height 4 units (sum of dimensions=12, area=32). D is a large square with both dimensions 6 units (sum=12, area=36).",(Rectangle A: 4 units x 2 units),Student chose a rectangle with a perimeter of 12 units.,(Rectangle B: 4 units x 3 units),Correct.,(Rectangle C: 8 units x 4 units),Student added the length and width to get 12 units.,(Rectangle D: 6 units x 6 units),"Student added the length and width to get 12 units, OR confused 6 x 6 with 6 x 2.",,,,,,,,Student added the length and width to get 12 units.,Use multiplication to find the area of a rectangle with whole number side lengths in the context of solving mathematical problems
MATH-00130,3,i185069,Compass,q187882,B,A,72.0,16.666666666666668,75.0,8.333333333333334,,,,MULTICHOICE,,"The figure below is made up of two rectangles. What is the total area, in square centimeters, of the figure?","An L-shaped or rectilinear composite figure is shown, composed of two non-overlapping rectangles. Dimensions are labeled on the sides. One rectangle appears to be 3 cm x 3 cm (area = 9 sq cm) and the other appears to be 3 cm x 4 cm (area = 12 sq cm), totaling 21 sq cm. The longest overall length and longest overall width would give 5 x 5 = 25 sq cm if the missing portion were not subtracted.",13,Student added the length and the width to find the area of each section and then added these values together to find the total area of the composite figure.,21,Correct.,25,Student calculated the area of the composite figure using the longest length and the longest width and did not subtract the missing portion.,90,Student multiplied rather than adding the areas of the two rectangles to find the total area of the composite figure.,,,,,,,,Student added the length and the width to find the area of each section and then added these values together to find the total area of the composite figure.,Find the area of rectilinear figures by decomposing them into non-overlapping parts and finding the area of each part
